"#separator:;"
#html:true
#notetype column:0
type;2;3
Cloze;{{c1::Uspostavljanje}} (imenica, gerundiv) označava akciju postavljanja ili stvaranja nečega u funkcionalno stanje ili red, kroz uspostavljanje veza, sistema ili kontrola.;
Cloze;Proces {{c1::uspostavljanja}} mira u regiji teče polako.;
Cloze;Za {{c1::uspostavljanje}} pravednog sistema je potrebno vrijeme.;
Cloze;Sarađivali su na {{c1::uspostavljanju}} nove radionice.;
Basic;uspostavljati;"<img src=""29bd8f37_uspostavljati_0.jpg"">"
Basic;"<img src=""29bd8f37_uspostavljati_0.jpg"">";uspostavljati
Cloze;{{c1::Uopšteno}} (pridjev, pozitivan) opisuje izjavu ili koncept koji su generalizirani, bez detalja, primjenjivi na mnoge situacije ili slučajeve.;
Cloze;On je {{c1::uopšteno}} govorio o planovima za budućnost.;
Cloze;Vaše {{c1::uopštene}} izjave nisu pomogle razjasniti stvar.;
Cloze;Nadali smo se da će njegova poruka biti manje {{c1::uopštena}}.;
Basic;uopšteno;"<img src=""248c0687_uopšteno_0.jpg"">"
Basic;"<img src=""248c0687_uopšteno_0.jpg"">";uopšteno
Cloze;{{c1::Unaprijeđen}} (pridjev, pozitivan) odnosi se na nešto što je poboljšano ili dovedeno na viši nivo u smislu kvalitete, efikasnosti ili tehnologije.;
Cloze;Poslovni procesi su značajno {{c1::unaprijeđeni}}.;
Cloze;Ona {{c1::unapređuje}} naše šanse za uspjeh svojim znanjem.;
Cloze;Zahvaljujući novim metodama, radovi su {{c1::unaprijeđeni}} u efikasnosti.;
Basic;unaprijed;"<img src=""a90f6607_unaprijed_0.jpg"">"
Basic;"<img src=""a90f6607_unaprijed_0.jpg"">";unaprijed
Basic;eksponat;"<img src=""c1b4b0d8_eksponat_0.jpg"">"
Basic;"<img src=""c1b4b0d8_eksponat_0.jpg"">";eksponat
Basic;eksponat;"<img src=""3c112779_eksponat_1.jpg"">"
Basic;"<img src=""3c112779_eksponat_1.jpg"">";eksponat
Basic;eksponat;"<img src=""def8c081_eksponat_2.jpg"">"
Basic;"<img src=""def8c081_eksponat_2.jpg"">";eksponat
Cloze;{{c1::Prekomjeran}} (pridjev, komparativ) opisuje količinu ili intenzitet nečega što premašuje normalne, očekivane ili zdrave granice.;
Cloze;Zabrinut sam zbog {{c1::prekomjerne}} konzumacije šećera.;
Cloze;Doktori upozoravaju na {{c1::prekomjernu}} upotrebu antibiotika.;
Cloze;Suočavamo se s {{c1::prekomjernim}} trošenjem resursa.;
Basic;prekomjeran;"<img src=""804757a3_prekomjeran_0.jpg"">"
Basic;"<img src=""804757a3_prekomjeran_0.jpg"">";prekomjeran
Cloze;{{c1::Ispoljiti}} (glagol, nesvršeni vid, {{c1::ispoljim}}) znači pokazati ili manifestovati neki osjećaj, svojstvo ili reakciju, često javno ili vidljivo.;
Cloze;On {{c1::ispoljava}} veliku strast prema slikarstvu.;
Cloze;Ljubav se često {{c1::ispoljava}} kroz male geste.;
Cloze;Njegova hrabrost se {{c1::ispoljila}} u kritičnom trenutku.;
Basic;ispoljavati;"<img src=""55743985_ispoljavati_0.jpg"">"
Basic;"<img src=""55743985_ispoljavati_0.jpg"">";ispoljavati
Cloze;{{c1::Prizeljkivati}} (glagol, nesvršeni vid, {{c1::prizeljkujem}}) se odnosi na snažnu želju ili nadu da se nešto dogodi ili da se ostvari neki cilj.;
Cloze;Njen dolazak je bio dugo {{c1::prizeljkivan}}.;
Cloze;Svi su {{c1::prizeljkivali}} toplo sunčano ljeto.;
Cloze;On je {{c1::prizeljkivao}} priliku da pokaže svoje sposobnosti.;
Basic;prizeljkivati;"<img src=""8bd1bc82_prizeljkivati_0.jpg"">"
Basic;"<img src=""8bd1bc82_prizeljkivati_0.jpg"">";prizeljkivati
